Location Code,Name,Street,City,State,Country,Zipcode,Color,Photo URL,Description,,,
55d66fdc0dfeea68b4cab960b844c05f,Berlengas | Scuba Diving,,,,,,,,"39.414598, -9.509642",,,
4ea35fc37ebdd0cdd7cd26ed9085412a,Peniche | Camping com Edu e amigos,,,,,,red,,"39.356411, -9.383774",,,
47f7f35606b065b9cc317de13478b547,Óbidos | Festival do Chocolate,,,,,,red,,"39.359482, -9.158302",,,
ad48668f30c60555eab3e12c6ecf764c,Cascais | Passeio com o pessoal do CS,,,,,,red,,"38.697704, -9.422808",,,
05e9d0333a38b7525a323c2d53c00bc7,Vilamoura | Summers in Leitaos house,,,,,,red,,"37.089854, -8.11829",,,
9f611836be7f5f94a4edfb24b49c693d,Funchal Madeira | Viagem 6o ano,,,,,,red,,"32.64833, -16.909737",,,
eda4e2e3ad6aa52c5a173232c1585b2a,Matosinhos | Casa do Mykola,,,,,,red,,"41.185372, -8.695661",,,
2ab2d55ab29a38b4e4c551dd5a687e3a,Illas Cies,,,,,,red,,"42.231881, -8.904776",,,
354a07cf4ecedd60b8673507d4c22478,Vigo | Concert Yukhina,,,,,,red,,"42.236711, -8.723588",,,
282039f62c970e145aa1dbedc2633c88,Ponteareas | Concert Yukhina,,,,,,red,,"42.175255, -8.506501",,,
fbecadc68f2c1804519b0a0bd8fe195c,Serra da Estrela | Ski,,,,,,red,,"40.321539, -7.613782",,,
002144ed2ce9783a683bd4d46a337471,Porto | Passeio com Lihyang | Com pais | Com Mykola,,,,,,red,,"41.15057, -8.614487",,,
b6d5d404ce756d6d1967e3e2bddf77f3,Figueira da Foz | Festas de Ano Novo | Praia | Casa da Irina,,,,,,red,,"40.150797, -8.858038",,,
13cd33cf8be077422f0574f5fee40829,Montemor-o-velho | Casa da Angela,,,,,,red,,"40.174368, -8.682699",,,
ec21e2ffed6770353d989568503c2fb4,Sevilla | Surprise B-Day Trip,,,,,,red,,"37.391991, -5.991453",,,
ef3aa90485830a954d65e1247a6efec0,Madrid | CompBio,,,,,,red,,"40.422974, -3.710789",,,
677769cef83309619e15a7e00f0548a2,Ribes de Freser | Hiking,,,,,,red,,"42.306208, 2.170254",,,
b0380bab1a465e39fd2ce71d30934dc3,Coimbra <3,,,,,,red,//zeemapsimages.s3.amazonaws.com/02a2657563ddd14d7a401a207c3022ff-2014-09-02 12.46.17.jpg,"40.211323, -8.424468",,,
719a7e3a722466e25b004be03860408e,Santa Clara,,,,,,mold,,"40.203703, -8.441505",,,
0d19a45f1289bacb45ed49ac04385acd,Taveiro | Primeira casa em PT,,,,,,mold,,"40.193692, -8.513294",,,
3887886391d84055665b2b0ec9080c03,Lleida,,,,,,mold,,"41.62092, 0.618539",,,
10276ba8a695802649a8bcad2f9a86ec,Barcelona,,,,,,mold,,"41.394275, 2.177391",,,
f80f0456c27ef953d4c908f67f0eec3b,Bordeaux | Solo trip,,,,,,red,,"44.840706, -0.574127",,,
4b76f794c7d9e25269b250ac1cf969a8,Arcachon Bay | Solo trip,,,,,,red,//zeemapsimages.s3.amazonaws.com/20fbea84cc92860698da6ceab169a406-2014-09-10 12.05.15.jpg,"44.660577, -1.169928",,,
38ca6ff1b7d71608e2700c7d12256577,Pilat Dune | Solo trip,,,,,,red,//zeemapsimages.s3.amazonaws.com/6b3a5945c3d6290fa128df28c2fdb239-2014-09-10 16.09.44.jpg,"44.588004, -1.217305",,,
bf550275cf1b78d1494e427bac4062f0,Saint-Emilion | Wine village,,,,,,red,,"44.893723, -0.155789",,,
03919396526747aed070370e6f3dec1d,Libourne | Solo Trip,,,,,,red,,"44.915026, -0.243578",,,
70a6e9b5ba68c802fd9725a20c73613a,Metz | Trip with dad,,,,,,red,,"49.116069, 6.177864",,,
f7da174869adbe07be8c9b4d9d26c953,Audun-le-Roman | Dadp's first crib in France,,,,,,mold,,"49.365224, 5.885243",,,
f7723e73564f897003002a465c7505b1,Esch-sur-Alzette | Faddevs place,,,,,,red,,"49.501214, 5.977196",,,
c0a651eef917e26854c2557e0f4d3655,Lucembourg City,,,,,,red,,"49.605407, 6.12741",,,
7b47b8f8744f5d950a6c7c657a8f8a9f,Consorf House,,,,,,mold,,"49.785202, 6.347422",,,
480ca5d91fede6568a08abd7b1eede0f,Vianden Castle,,,,,,red,//zeemapsimages.s3.amazonaws.com/d0ce241d338741096b29f369fd6de108-IMG_0612.JPG,"49.934938, 6.201924",,,
a12dab7ba0a8017b2e4569081730a103,Echternach | Walks with parents,,,,,,red,,"49.812392, 6.420011",,,
f3969947bffaba9a1d074988fc06eb61,Gravenmacher - Butterfly Garden,,,,,,red,//zeemapsimages.s3.amazonaws.com/cdaee03aa974c0f8574c9125f5f26ccf-IMG_0467.JPG,"49.682994, 6.448951",,,
73a5ae19623afc01d2645c9a8203b9ad,Arlon | Trip with parents,,,,,,red,,"49.684379, 5.81044",,,
3183069ccd9f37a928528c3dbfd918b3,Brussel | Trip parents,,,,,,red,//zeemapsimages.s3.amazonaws.com/82c0336a4ce01a439623ace1cacba412-Fotografia0610.jpg,"50.854196, 4.352213",,,
a1c796d813bccd2708ddbf312a8aac8a,Novotroits'ke | Family's origin,,,,,,mold,,"46.351304, 34.33225",,,
a50e4ac87a9396f2c648e623d7cfc2ed,Genichesk | Beach trips with family,,,,,,red,,"46.16604, 34.816946",,,
e97dc9f431e9a85a6ce10f4831b39ae1,Prague | Trip with parents,,,,,,red,//zeemapsimages.s3.amazonaws.com/5035196b84f87d7343e312d4c066a909-IMG_0281.JPG,"50.085697, 14.41858",,,
fd99f3f62411120d0d21a2affdc5c674,Karlovy Vary | Trip with Parents,,,,,,red,//zeemapsimages.s3.amazonaws.com/a444cd986fef0676604f99ec15017a1b-IMG_0311a.jpg,"50.233128, 12.87178",,,
f22b6afec9857ba399672b1c763be08b,Kherson | Family's place,,,,,,red,,"46.634407, 32.611223",,,
ede1f5e4c45318853132a4eee087798a,Saarbrucken | Trip with parents,,,,,,red,,"49.232362, 6.995533",,,
4a9d10db69f43562322ec831a9e51831,Trier | Trip with parents,,,,,,red,,"49.759725, 6.642842",,,
715e36b6c560ffabc0f1a61446f3b6e1,Buddhist Monastery,,,,,,red,,"41.291449, 1.852811",,,
597831224e1d2bd2feeeb371ac39ec4b,Girona | Festival de las Flores,,,,,,red,,"41.976674, 2.820812",,,
32135279825f78f8dd7a99f69261bccc,Tarragona | Trip,,,,,,red,,"41.118865, 1.247252",,,
073b0b9abde8dcee6a2b5a166f3d375c,Munster | French Alps Ski Trip,,,,,,red,,"48.040291, 7.133511",,,
95158c8c5c31caba2207bf5e89efb99e,La Molina Ski,,,,,,red,,"42.338181, 1.936737",,,
b712481ac481a5f90b37c5125613088f,Montserrat,,,,,,red,,"41.799289, 2.389659",,,
d3262ffe1f2e527ef20db0b2a6733b1e,Enzen | Dinosaur Park with parents,,,,,,red,,"49.844837, 6.433657",,,
6cf634e10e4fa23caba2791a71834b43,Reus | Trip,,,,,,red,,"41.155273, 1.109846",,,
483599a43a5bcabc2970acd3089932b1,Alquezar,,,,,,red,,"42.17222, 0.024797",,,
a56c84d9d8f7b82e09a411e96f458b4d,Panillo | Templo Budista,,,,,,red,,"42.246659, 0.29252",,,
7b1abb702c10d3f4816b1b6d9a0ff4ca,Zaragoza | CS trip,,,,,,red,,"41.656367, -0.878073",,,
e202343100ff8a30e22e3cdccc31b57f,Lisboa | Estagio IMM,,,,,,red,,"38.726022, -9.142231",,,
4603f172edb11e59786e251944a321e4,Costa da Caparica | Festa de Psy,,,,,,red,,"38.643462, -9.239764",,,
16dcd4e91f9c622044d5b3b548e9faa1,Beauvais | Parents Wedding,,Beauvais,,France,,red,,"49.433168, 2.081999",,,
3ee8064e661574e1d55759e69909cc46,Paris | Parents Wedding,,Paris,,France,,red,,"48.860871, 2.345684",,,
e22e34cbea0454a4acf378696f185fa1,Cabo da Roca,,,,,,red,,"38.780288, -9.498757",,,
d5b391270468a7d5c0be462c4adb027e,Praia da Ursa | Trip with CS,,,,,,red,,"38.790215, -9.492691",,,
a6a5aba130a69d5a963b31e93a33df1d,Incheon Beach | Beach trip with Hanyang students,,,,,,red,,"37.442861, 126.404285",,,
